system,system_label,selection_role,status,not_run_reason,overlap_family,threshold,total_gt_boxes,total_pred_boxes,predicted_hazards,no_box_hazards,no_box_rate,gt_coverage_recall,pred_to_gt_coverage,gt_to_pred_containment,category_aware_grounding_recall,category_aware_grounding_precision,box_label_grounding_f1,mean_iou,mean_iop_tightness
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iog,0.6000,247,323,365,42,0.1151,0.7166,0.4706,0.1981,0.1174,0.0898,0.1018,0.4104,0.4132
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iog,0.7000,247,323,365,42,0.1151,0.7166,0.4706,0.1579,0.1174,0.0898,0.1018,0.4104,0.4132
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iou,0.3000,247,323,365,42,0.1151,0.3806,0.3653,0.4056,0.0648,0.0495,0.0561,0.6096,0.6193
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iou,0.4000,247,323,365,42,0.1151,0.2915,0.3096,0.3529,0.0364,0.0279,0.0316,0.6580,0.6681
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iou,0.5000,247,323,365,42,0.1151,0.1984,0.2043,0.2539,0.0283,0.0217,0.0246,0.7660,0.7716
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iop,0.3000,247,323,365,42,0.1151,0.4291,0.4056,0.4056,0.0810,0.0619,0.0702,0.5559,0.6489
baseline_direct_llama32_vision_11b_apr2026,Llama 3.2 Vision 11B,Named comparison; Best single-pass by GT coverage,COMPUTED,,iop,0.5000,247,323,365,42,0.1151,0.2713,0.2539,0.2539,0.0445,0.0341,0.0386,0.6440,0.7924
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iog,0.1000,247,145,205,60,0.2927,0.4615,0.5724,0.7586,0.2024,0.3448,0.2551,0.3194,0.5896
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iog,0.2000,247,145,205,60,0.2927,0.3968,0.4759,0.7241,0.1457,0.2483,0.1837,0.3574,0.5777
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iog,0.3000,247,145,205,60,0.2927,0.3320,0.3931,0.6828,0.1336,0.2276,0.1684,0.3923,0.5699
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iog,0.4000,247,145,205,60,0.2927,0.2591,0.3034,0.6138,0.1093,0.1862,0.1378,0.4349,0.5727
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iog,0.5000,247,145,205,60,0.2927,0.2186,0.2690,0.5586,0.0810,0.1379,0.1020,0.4437,0.5590
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iog,0.6000,247,145,205,60,0.2927,0.1619,0.2000,0.5103,0.0729,0.1241,0.0918,0.4549,0.5103
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iog,0.7000,247,145,205,60,0.2927,0.1377,0.1724,0.4690,0.0567,0.0966,0.0714,0.4393,0.4638
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iou,0.3000,247,145,205,60,0.2927,0.2186,0.2897,0.6828,0.0931,0.1586,0.1173,0.5212,0.7823
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iou,0.4000,247,145,205,60,0.2927,0.1741,0.2138,0.6138,0.0810,0.1379,0.1020,0.5879,0.8249
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iou,0.5000,247,145,205,60,0.2927,0.1134,0.1517,0.5586,0.0526,0.0897,0.0663,0.6510,0.8704
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iop,0.3000,247,145,205,60,0.2927,0.4332,0.6828,0.6828,0.1943,0.3310,0.2449,0.2678,0.7926
baseline_direct_gemma4_31b,Gemma 4 31B,Named comparison,COMPUTED,,iop,0.5000,247,145,205,60,0.2927,0.3360,0.5586,0.5586,0.1417,0.2414,0.1786,0.2845,0.8846
