system,ground_iog_threshold,total_gt_boxes,total_pred_boxes,total_hazard_rows,no_box_hazard_rows,no_box_rate,gt_coverage_iog03,prediction_coverage_iog03,category_aware_grounding_success_iog03,category_aware_prediction_coverage_iog03,iou_at_0_3,iou_at_0_5,tightness_mean_iop,mean_iou_covering,gt_to_prediction_containment_iop03,map_like_iou50_category_aware,gt_coverage_iog03_Fall_Hazard,support_gt_boxes_Fall_Hazard,low_support_Fall_Hazard,gt_coverage_iog03_StruckBy_Hazard,support_gt_boxes_StruckBy_Hazard,low_support_StruckBy_Hazard,gt_coverage_iog03_Electrocution_Hazard,support_gt_boxes_Electrocution_Hazard,low_support_Electrocution_Hazard,gt_coverage_iog03_CaughtInBetween_hazard,support_gt_boxes_CaughtInBetween_hazard,low_support_CaughtInBetween_hazard,gt_coverage_iog03_PPE_Violation,support_gt_boxes_PPE_Violation,low_support_PPE_Violation,gt_coverage_iog03_Housekeeping_Storage,support_gt_boxes_Housekeeping_Storage,low_support_Housekeeping_Storage,gt_coverage_iog03_Other,support_gt_boxes_Other,low_support_Other,gt_coverage_iog03_ci95_low,gt_coverage_iog03_ci95_high,prediction_coverage_iog03_ci95_low,prediction_coverage_iog03_ci95_high,category_aware_grounding_success_iog03_ci95_low,category_aware_grounding_success_iog03_ci95_high,iou_at_0_3_ci95_low,iou_at_0_3_ci95_high,iou_at_0_5_ci95_low,iou_at_0_5_ci95_high,mean_iou_covering_ci95_low,mean_iou_covering_ci95_high,gt_to_prediction_containment_iop03_ci95_low,gt_to_prediction_containment_iop03_ci95_high
ablation_no_reconciliation_union,0.3000,247,415,420,5,0.0119,0.7530,0.4723,0.4777,0.2988,0.6235,0.4980,0.7854,0.6409,0.6434,0.0716,0.7937,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.9111,45,0,0.6623,77,0,0.6400,25,0,0.6853,0.8185,0.3980,0.5443,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6869,0.5651,0.7143
ablation_groundingdino_only,0.3000,247,355,355,0,0.0000,0.7328,0.4901,0.4494,0.3239,0.6113,0.4858,0.7782,0.6310,0.6310,0.0794,0.7778,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.8889,45,0,0.6364,77,0,0.6000,25,0,0.6620,0.8008,0.4157,0.5645,0.3911,0.5119,0.5393,0.6837,0.4153,0.5494,0.5790,0.6823,0.5491,0.7052
ablation_gdino_detr_openclip_stack_only,0.3000,247,413,413,0,0.0000,0.7530,0.4722,0.4737,0.2978,0.6235,0.4980,0.7843,0.6412,0.6416,0.0690,0.7937,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.9111,45,0,0.6623,77,0,0.6400,25,0,0.6853,0.8185,0.4014,0.5452,0.4113,0.5397,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126
ablation_qwen_image_only_no_grounding,0.3000,247,0,471,471,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63,0,0.0000,3,1,0.0000,24,0,0.0000,10,0,0.0000,45,0,0.0000,77,0,0.0000,25,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ablation_caption_only_keyword_proxy,0.3000,247,0,1252,1252,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63,0,0.0000,3,1,0.0000,24,0,0.0000,10,0,0.0000,45,0,0.0000,77,0,0.0000,25,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ablation_image_only_reasoning,0.3000,247,286,471,185,0.3928,0.3887,0.2587,0.1741,0.1503,0.2955,0.1417,0.6963,0.4725,0.4895,0.0061,0.3810,63,0,0.3333,3,1,0.4583,24,0,0.4000,10,0,0.3556,45,0,0.4545,77,0,0.2000,25,0,0.2963,0.4795,0.1875,0.3286,0.1190,0.2308,0.2143,0.3739,0.0884,0.2000,0.4171,0.5313,0.4018,0.5756
ablation_no_fallback_grounding_drop,0.3000,247,355,360,5,0.0139,0.7328,0.4901,0.4534,0.3268,0.6113,0.4858,0.7782,0.6310,0.6310,0.0812,0.7778,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.8889,45,0,0.6364,77,0,0.6000,25,0,0.6620,0.8008,0.4157,0.5645,0.3941,0.5159,0.5393,0.6837,0.4153,0.5494,0.5790,0.6823,0.5491,0.7052
ablation_no_fallback_grounding_boxes_removed,0.3000,247,355,418,63,0.1507,0.7328,0.4901,0.4534,0.3268,0.6113,0.4858,0.7782,0.6310,0.6310,0.0812,0.7778,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.8889,45,0,0.6364,77,0,0.6000,25,0,0.6620,0.8008,0.4157,0.5645,0.3941,0.5159,0.5393,0.6837,0.4153,0.5494,0.5790,0.6823,0.5491,0.7052
ablation_no_path2_verification,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4737,0.2978,0.6235,0.4980,0.7843,0.6412,0.6416,0.0690,0.7937,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.9111,45,0,0.6623,77,0,0.6400,25,0,0.6853,0.8185,0.4014,0.5452,0.4113,0.5397,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126
ablation_no_path2_stage_correction,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4777,0.3002,0.6235,0.4980,0.7843,0.6412,0.6416,0.0708,0.7937,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.9111,45,0,0.6623,77,0,0.6400,25,0,0.6853,0.8185,0.4014,0.5452,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126
ablation_grounded_final_only,0.3000,247,413,413,0,0.0000,0.7530,0.4722,0.4777,0.3002,0.6235,0.4980,0.7843,0.6412,0.6416,0.0708,0.7937,63,0,0.6667,3,1,0.8333,24,0,0.6000,10,0,0.9111,45,0,0.6623,77,0,0.6400,25,0,0.6853,0.8185,0.4014,0.5452,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126
