system,category,support_gt_boxes,low_support,gt_coverage_iog03
ablation_path2_only_no_grounding,Other,25,0,0.0000
ablation_no_reconciliation_union,Fall_Hazard,63,0,0.7937
ablation_no_reconciliation_union,StruckBy_Hazard,3,1,0.6667
ablation_no_reconciliation_union,Electrocution_Hazard,24,0,0.8333
ablation_no_reconciliation_union,CaughtInBetween_hazard,10,0,0.6000
ablation_no_reconciliation_union,PPE_Violation,45,0,0.9111
ablation_no_reconciliation_union,Housekeeping_Storage,77,0,0.6623
ablation_no_reconciliation_union,Other,25,0,0.6400
ablation_groundingdino_only,Fall_Hazard,63,0,0.7778
ablation_groundingdino_only,StruckBy_Hazard,3,1,0.6667
ablation_groundingdino_only,Electrocution_Hazard,24,0,0.8333
ablation_groundingdino_only,CaughtInBetween_hazard,10,0,0.6000
ablation_groundingdino_only,PPE_Violation,45,0,0.8889
ablation_groundingdino_only,Housekeeping_Storage,77,0,0.6364
ablation_groundingdino_only,Other,25,0,0.6000
ablation_gdino_detr_openclip_stack_only,Fall_Hazard,63,0,0.7937
ablation_gdino_detr_openclip_stack_only,StruckBy_Hazard,3,1,0.6667
ablation_gdino_detr_openclip_stack_only,Electrocution_Hazard,24,0,0.8333
ablation_gdino_detr_openclip_stack_only,CaughtInBetween_hazard,10,0,0.6000
ablation_gdino_detr_openclip_stack_only,PPE_Violation,45,0,0.9111
ablation_gdino_detr_openclip_stack_only,Housekeeping_Storage,77,0,0.6623
ablation_gdino_detr_openclip_stack_only,Other,25,0,0.6400
ablation_qwen_image_only_no_grounding,Fall_Hazard,63,0,0.0000
ablation_qwen_image_only_no_grounding,StruckBy_Hazard,3,1,0.0000
ablation_qwen_image_only_no_grounding,Electrocution_Hazard,24,0,0.0000
ablation_qwen_image_only_no_grounding,CaughtInBetween_hazard,10,0,0.0000
ablation_qwen_image_only_no_grounding,PPE_Violation,45,0,0.0000
ablation_qwen_image_only_no_grounding,Housekeeping_Storage,77,0,0.0000
ablation_qwen_image_only_no_grounding,Other,25,0,0.0000
ablation_caption_only_keyword_proxy,Fall_Hazard,63,0,0.0000
ablation_caption_only_keyword_proxy,StruckBy_Hazard,3,1,0.0000
ablation_caption_only_keyword_proxy,Electrocution_Hazard,24,0,0.0000
ablation_caption_only_keyword_proxy,CaughtInBetween_hazard,10,0,0.0000
ablation_caption_only_keyword_proxy,PPE_Violation,45,0,0.0000
ablation_caption_only_keyword_proxy,Housekeeping_Storage,77,0,0.0000
ablation_caption_only_keyword_proxy,Other,25,0,0.0000
