system,TP,FP,FN,precision,precision_ci95_low,precision_ci95_high,recall,recall_ci95_low,recall_ci95_high,f1,f1_ci95_low,f1_ci95_high,macro_precision,macro_recall,macro_f1,exact_image_category_match_rate,image_universe,n_bootstrap,ground_iog_threshold,total_gt_boxes,total_pred_boxes,total_hazard_rows,no_box_hazard_rows,no_box_rate,gt_coverage_iog03,prediction_coverage_iog03,category_aware_grounding_success_iog03,category_aware_prediction_coverage_iog03,iou_at_0_3,iou_at_0_5,tightness_mean_iop,mean_iou_covering,gt_to_prediction_containment_iop03,map_like_iou50_category_aware,prediction_coverage_iog03_ci95_low,prediction_coverage_iog03_ci95_high,category_aware_grounding_success_iog03_ci95_low,category_aware_grounding_success_iog03_ci95_high,iou_at_0_3_ci95_low,iou_at_0_3_ci95_high,iou_at_0_5_ci95_low,iou_at_0_5_ci95_high,mean_iou_covering_ci95_low,mean_iou_covering_ci95_high,gt_to_prediction_containment_iop03_ci95_low,gt_to_prediction_containment_iop03_ci95_high,family,exactness,description,source_path
ablation_path2_only_no_grounding,136,170,74,0.4444,0.3813,0.5034,0.6476,0.5847,0.7104,0.5271,0.4665,0.5821,0.3845,0.5332,0.4307,0.3596,203,1000,0.3000,247,0,368,368,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ablation,posthoc_lower_bound_trace_retained_only,Path 2 only lower-bound: retained Path 2 KEEP/REVISE hazards with all boxes stripped.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_reconciliation_union,142,209,68,0.4046,0.3418,0.4593,0.6762,0.6127,0.7349,0.5062,0.4457,0.5593,0.3535,0.5552,0.4170,0.3251,203,1000,0.3000,247,415,420,5,0.0119,0.7530,0.4723,0.4777,0.2988,0.6235,0.4980,0.7854,0.6409,0.6434,0.0716,0.3980,0.5443,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6869,0.5651,0.7143,ablation,posthoc_union_rule,No reconciliation: simple union of Path 1 pre-reasoning candidates and final retained hazards.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_groundingdino_only,131,172,79,0.4323,0.3664,0.4926,0.6238,0.5701,0.6784,0.5107,0.4524,0.5635,0.3778,0.5082,0.4135,0.3399,203,1000,0.3000,247,355,355,0,0.0000,0.7328,0.4901,0.4494,0.3239,0.6113,0.4858,0.7782,0.6310,0.6310,0.0794,0.4157,0.5645,0.3911,0.5119,0.5393,0.6837,0.4153,0.5494,0.5790,0.6823,0.5491,0.7052,ablation,posthoc_source_filter,GroundingDINO-only: Path 1 hazards retained only when the primary source produced a box.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_gdino_detr_openclip_stack_only,141,204,69,0.4087,0.3478,0.4643,0.6714,0.6124,0.7297,0.5081,0.4492,0.5619,0.3598,0.5516,0.4190,0.3350,203,1000,0.3000,247,413,413,0,0.0000,0.7530,0.4722,0.4737,0.2978,0.6235,0.4980,0.7843,0.6412,0.6416,0.0690,0.4014,0.5452,0.4113,0.5397,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126,ablation,exact_from_trace_grounded_pre_reasoning,GroundingDINO plus DETR/OpenCLIP fallback only: grounded Path 1 candidates before Path 2.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_qwen_image_only_no_grounding,130,209,80,0.3835,0.3301,0.4359,0.6190,0.5649,0.6766,0.4736,0.4219,0.5229,0.2991,0.4307,0.3470,0.2365,203,1000,0.3000,247,0,471,471,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ablation,exact_cached_direct_identification_posthoc_no_boxes,Qwen-only image reasoning without grounding: direct Qwen 3.5 9B predictions with boxes removed.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl
ablation_caption_only_keyword_proxy,205,1047,5,0.1637,0.1364,0.1886,0.9762,0.9541,0.9951,0.2804,0.2392,0.3163,0.1539,0.9202,0.2538,0.0000,203,1000,0.3000,247,0,1252,1252,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ablation,fallback_caption_keyword_proxy,"Caption-only deterministic fallback: taxonomy keyword cues in cached captions, no image/model rerun.",<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_image_only_reasoning,130,209,80,0.3835,0.3301,0.4359,0.6190,0.5649,0.6766,0.4736,0.4219,0.5229,0.2991,0.4307,0.3470,0.2365,203,1000,0.3000,247,286,471,185,0.3928,0.3887,0.2587,0.1741,0.1503,0.2955,0.1417,0.6963,0.4725,0.4895,0.0061,0.1875,0.3286,0.1190,0.2308,0.2143,0.3739,0.0884,0.2000,0.4171,0.5313,0.4018,0.5756,ablation,exact_cached_direct,Image-only single-pass Qwen 3.5 9B reasoning baseline.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_e2e_qwen35_9b/exp_e2e_qwen35_9b_run1.jsonl
ablation_no_fallback_grounding_drop,132,174,78,0.4314,0.3622,0.4937,0.6286,0.5738,0.6869,0.5116,0.4497,0.5637,0.3753,0.5118,0.4134,0.3399,203,1000,0.3000,247,355,360,5,0.0139,0.7328,0.4901,0.4534,0.3268,0.6113,0.4858,0.7782,0.6310,0.6310,0.0812,0.4157,0.5645,0.3941,0.5159,0.5393,0.6837,0.4153,0.5494,0.5790,0.6823,0.5491,0.7052,ablation,posthoc_source_filter,No fallback grounding: final hazards using DETR/OpenCLIP fallback are dropped.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_fallback_grounding_boxes_removed,142,206,68,0.4080,0.3453,0.4639,0.6762,0.6127,0.7349,0.5090,0.4481,0.5629,0.3576,0.5552,0.4189,0.3350,203,1000,0.3000,247,355,418,63,0.1507,0.7328,0.4901,0.4534,0.3268,0.6113,0.4858,0.7782,0.6310,0.6310,0.0812,0.4157,0.5645,0.3941,0.5159,0.5393,0.6837,0.4153,0.5494,0.5790,0.6823,0.5491,0.7052,ablation,posthoc_box_filter,No fallback grounding: fallback boxes removed while hazard text/category decisions remain.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_path2_verification,141,208,69,0.4040,0.3420,0.4595,0.6714,0.6124,0.7297,0.5045,0.4457,0.5574,0.3535,0.5516,0.4158,0.3251,203,1000,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4737,0.2978,0.6235,0.4980,0.7843,0.6412,0.6416,0.0690,0.4014,0.5452,0.4113,0.5397,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126,ablation,exact_from_trace_pre_reasoning,No Path 2 verification: alias of Path 1 pre-reasoning hazards.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_no_path2_stage_correction,142,206,68,0.4080,0.3453,0.4639,0.6762,0.6127,0.7349,0.5090,0.4481,0.5629,0.3576,0.5552,0.4189,0.3350,203,1000,0.3000,247,413,418,5,0.0120,0.7530,0.4722,0.4777,0.3002,0.6235,0.4980,0.7843,0.6412,0.6416,0.0708,0.4014,0.5452,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126,ablation,posthoc_text_match,No stage-specific correction from Path 2: final keep/drop decisions with pre-Path-2 category/risk labels restored when matched.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
ablation_grounded_final_only,142,202,68,0.4128,0.3509,0.4692,0.6762,0.6127,0.7349,0.5126,0.4517,0.5674,0.3650,0.5552,0.4224,0.3448,203,1000,0.3000,247,413,413,0,0.0000,0.7530,0.4722,0.4777,0.3002,0.6235,0.4980,0.7843,0.6412,0.6416,0.0708,0.4014,0.5452,0.4157,0.5427,0.5542,0.6929,0.4280,0.5646,0.5911,0.6879,0.5636,0.7126,ablation,posthoc_grounding_filter,Grounded final hazards only: final hazards without a valid box are removed.,<LOCAL_EVIDENCE_ROOT>/sitecortex_results_2026-04-24/raw_results/exp_modular_qwen35_9b/exp_modular_qwen35_9b_run1.jsonl
