system,category,support_gt_images,support_pred_images,low_support,TP,FP,FN,precision,recall,f1
ablation_no_fallback_grounding_boxes_removed,Other,24,47,0,8,39,16,0.1702,0.3333,0.2254
ablation_no_path2_verification,Fall_Hazard,61,76,0,51,25,10,0.6711,0.8361,0.7445
ablation_no_path2_verification,StruckBy_Hazard,3,45,1,1,44,2,0.0222,0.3333,0.0417
ablation_no_path2_verification,Electrocution_Hazard,24,39,0,19,20,5,0.4872,0.7917,0.6032
ablation_no_path2_verification,CaughtInBetween_hazard,10,9,0,2,7,8,0.2222,0.2000,0.2105
ablation_no_path2_verification,PPE_Violation,40,65,0,28,37,12,0.4308,0.7000,0.5333
ablation_no_path2_verification,Housekeeping_Storage,48,68,0,32,36,16,0.4706,0.6667,0.5517
ablation_no_path2_verification,Other,24,47,0,8,39,16,0.1702,0.3333,0.2254
ablation_no_path2_stage_correction,Fall_Hazard,61,77,0,51,26,10,0.6623,0.8361,0.7391
ablation_no_path2_stage_correction,StruckBy_Hazard,3,43,1,1,42,2,0.0233,0.3333,0.0435
ablation_no_path2_stage_correction,Electrocution_Hazard,24,39,0,19,20,5,0.4872,0.7917,0.6032
ablation_no_path2_stage_correction,CaughtInBetween_hazard,10,8,0,2,6,8,0.2500,0.2000,0.2222
ablation_no_path2_stage_correction,PPE_Violation,40,66,0,29,37,11,0.4394,0.7250,0.5472
ablation_no_path2_stage_correction,Housekeeping_Storage,48,68,0,32,36,16,0.4706,0.6667,0.5517
ablation_no_path2_stage_correction,Other,24,47,0,8,39,16,0.1702,0.3333,0.2254
ablation_grounded_final_only,Fall_Hazard,61,76,0,51,25,10,0.6711,0.8361,0.7445
ablation_grounded_final_only,StruckBy_Hazard,3,42,1,1,41,2,0.0238,0.3333,0.0444
ablation_grounded_final_only,Electrocution_Hazard,24,39,0,19,20,5,0.4872,0.7917,0.6032
ablation_grounded_final_only,CaughtInBetween_hazard,10,7,0,2,5,8,0.2857,0.2000,0.2353
ablation_grounded_final_only,PPE_Violation,40,66,0,29,37,11,0.4394,0.7250,0.5472
ablation_grounded_final_only,Housekeeping_Storage,48,67,0,32,35,16,0.4776,0.6667,0.5565
ablation_grounded_final_only,Other,24,47,0,8,39,16,0.1702,0.3333,0.2254
